"id";"prefix";"vendor"
113972;"0481AE";Clack Corporation
113973;"04848A";"7INOVA TECHNOLOGY LIMITED"
113974;"04885F";HUAWEI TECHNOLOGIES CO.,LTD
113975;"04888C";Eifelwerk Butler Systeme GmbH
113976;"0488E2";Beats Electronics LLC
113977;"048A15";Avaya Inc
113978;"048AE1";FLEXTRONICS MANUFACTURING(ZHUHAI)CO.,LTD.
113979;"048B42";Skspruce Technologies
113980;"048C03";ThinPAD Technology (Shenzhen)CO.,LTD
113981;"048C16";HUAWEI TECHNOLOGIES CO.,LTD
113982;"048C9A";Huawei Device Co., Ltd.
113983;"048D38";Netcore Technology Inc.
113984;"049162";Microchip Technology Inc.
113985;"049226";ASUSTek COMPUTER INC.
113986;"0492EE";iway AG
113987;"04946B";TECNO MOBILE LIMITED
113988;"0494A1";CATCH THE WIND INC
113989;"049573";zte corporation
113990;"0495E6";Tenda Technology Co.,Ltd.Dongguan branch
113991;"049645";WUXI SKY CHIP INTERCONNECTION TECHNOLOGY CO.,LTD.
113992;"049790";Lartech telecom LLC
113993;"0498F3";ALPS ELECTRIC CO., LTD.
113994;"0499E6";Shenzhen Yoostar Technology Co., Ltd
113995;"049B9C";Eadingcore  Intelligent Technology Co., Ltd.
113996;"049C62";BMT Medical Technology s.r.o.
113997;"049DFE";Hivesystem
113998;"049F06";Smobile Co., Ltd.
113999;"049F81";NetAlly
114000;"049FCA";HUAWEI TECHNOLOGIES CO.,LTD
114001;"04A151";NETGEAR
114002;"04A222";Arcadyan Corporation
114003;"04A2F3";Fiberhome Telecommunication Technologies Co.,LTD
114004;"04A316";Texas Instruments
114005;"04A3F3";Emicon
114006;"04A82A";Nokia Corporation
114007;"04AAE1";BEIJING MICROVISION TECHNOLOGY CO.,LTD
114008;"04AB18";ELECOM CO.,LTD.
114009;"04AB6A";Chun-il Co.,Ltd.
114010;"04AC44";Holtek Semiconductor Inc.
114011;"04B0E7";HUAWEI TECHNOLOGIES CO.,LTD
114012;"04B167";Xiaomi Communications Co Ltd
114013;"04B1A1";Samsung Electronics Co.,Ltd
114014;"04B3B6";Seamap (UK) Ltd
114015;"04B429";Samsung Electronics Co.,Ltd
114016;"04B466";BSP Co., Ltd.
114017;"04B648";ZENNER
114018;"04BA36";Li Seng Technology Ltd
114019;"04BA8D";Samsung Electronics Co.,Ltd
114020;"04BBF9";Pavilion Data Systems Inc
114021;"04BC87";Shenzhen JustLink Technology Co., LTD
114022;"04BD70";HUAWEI TECHNOLOGIES CO.,LTD
114023;"04BD88";Aruba, a Hewlett Packard Enterprise Company
114024;"04BDBF";Samsung Electronics Co.,Ltd
114025;"04BF6D";Zyxel Communications Corporation
114026;"04BFA8";ISB Corporation
114027;"04C05B";Tigo Energy
114028;"04C06F";HUAWEI TECHNOLOGIES CO.,LTD
114029;"04C09C";Tellabs Inc.
114030;"04C103";Clover Network, Inc.
114031;"04C1B9";Fiberhome Telecommunication Technologies Co.,LTD
114032;"04C1D8";Huawei Device Co., Ltd.
114033;"04C23E";HTC Corporation
114034;"04C241";Nokia
114035;"04C3E6";IEEE Registration Authority
114036;"04C3E60";DREAMKAS LLC
114037;"04C3E61";Guangdong New Pulse Electric Co., Ltd.
114038;"04C3E62";SiS Technology
114039;"04C3E63";Extech Electronics Co., LTD.
114040;"04C3E64";Innovusion Inc.
114041;"04C3E65";Invasys
114042;"04C3E66";Shenzhen Shuotian Information Technology Co., LTD
114043;"04C3E67";Advanced Digital Technologies, s.r.o.
114044;"04C3E68";SLOC GmbH
114045;"04C3E69";Ekin Teknoloji San ve Tic A.S.
114046;"04C3E6A";Sealed Unit Parts Co., Inc.
114047;"04C3E6B";Flintec UK Ltd.
114048;"04C3E6C";SHANTOU YINGSHENG IMPORT & EXPORT TRADING CO.,LTD.
114049;"04C3E6D";Amiosec Ltd
114050;"04C3E6E";Teleepoch Ltd
114051;"04C5A4";Cisco Systems, Inc
114052;"04C807";Xiaomi Communications Co Ltd
114053;"04C880";Samtec Inc
114054;"04C991";Phistek INC.
114055;"04C9D9";Dish Technologies Corp
114056;"04CB1D";Traka plc
114057;"04CB88";Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
114058;"04CE14";Wilocity LTD.
114059;"04CE7E";NXP France Semiconductors France
114060;"04CF25";MANYCOLORS, INC.
114061;"04CF8C";XIAOMI Electronics,CO.,LTD
114062;"04D13A";Xiaomi Communications Co Ltd
114063;"04D16E";IEEE Registration Authority
114064;"04D16E0";INTRIPLE, a.s.
114065;"04D16E1";Launch Tech Co., Ltd.
114066;"04D16E2";s.d.i. s.p.a.
114185;"080034";FILENET CORPORATION
114067;"04D16E3";Beijing Huaxia Qixin Technology Co., Ltd.
114068;"04D16E4";ShenZhen Huafu Information technology Co.?Ltd
114069;"04D16E5";Dspread Technology (Beijing) Inc.
114070;"04D16E6";ETL Elektrotechnik Lauter GmbH
114071;"04D16E7";Envision Energy
114072;"04D16E8";CHENGDU INTERLINK SCIENCE AND TECHNOLOGY CO.,LTD
114073;"04D16E9";FUZHOU ZHUOYI ELECTRONIC CO.,LTD
114074;"04D16EA";Metra Electronics
114075;"04D16EB";National Radio & Telecommunication Corporation - NRTC
114076;"04D16EC";PacPort Corporation
114077;"04D16ED";Elotec Fischer Elektronik GmbH
114078;"04D16EE";Evolute Systems Private Limited
114079;"04D395";Motorola Mobility LLC, a Lenovo Company
114080;"04D3B0";Intel Corporate
114081;"04D3B5";Huawei Device Co., Ltd.
114082;"04D3CF";Apple, Inc.
114083;"04D437";ZNV
114084;"04D4C4";ASUSTek COMPUTER INC.
114085;"04D590";Fortinet, Inc.
114086;"04D6AA";SAMSUNG ELECTRO-MECHANICS(THAILAND)
114087;"04D783";Y&H E&C Co.,LTD.
114088;"04D7A5";New H3C Technologies Co., Ltd
114089;"04D9F5";ASUSTek COMPUTER INC.
114090;"04DAD2";Cisco Systems, Inc
114091;"04DB56";Apple, Inc.
114092;"04DB8A";Suntech International Ltd.
114093;"04DD4C";Velocytech
114094;"04DEDB";Rockport Networks Inc
114095;"04DEF2";Shenzhen ECOM Technology Co. Ltd
114096;"04DF69";Car Connectivity Consortium
114097;"04E0B0";Shenzhen YOUHUA Technology Co., Ltd
114098;"04E0C4";TRIUMPH-ADLER AG
114099;"04E1C8";IMS Soluções em Energia Ltda.
114100;"04E229";Qingdao Haier Technology Co.,Ltd
114101;"04E2F8";AEP Ticketing solutions srl
114102;"04E451";Texas Instruments
114103;"04E536";Apple, Inc.
114104;"04E548";Cohda Wireless Pty Ltd
114105;"04E56E";THUB Co., ltd.
114106;"04E598";Xiaomi Communications Co Ltd
114107;"04E662";Acroname Inc.
114108;"04E676";AMPAK Technology, Inc.
114109;"04E9E5";PJRC.COM, LLC
114110;"04EA56";Intel Corporate
114111;"04EB40";Cisco Systems, Inc
114112;"04ECBB";Fiberhome Telecommunication Technologies Co.,LTD
114113;"04ED33";Intel Corporate
114114;"04EE03";Texas Instruments
114115;"04EE91";x-fabric GmbH
114116;"04F021";Compex Systems Pte Ltd
114117;"04F128";HMD Global Oy
114118;"04F13E";Apple, Inc.
114119;"04F169";Huawei Device Co., Ltd.
114120;"04F17D";Tarana Wireless
114121;"04F4BC";Xena Networks
114122;"04F5F4";Proxim Wireless
114123;"04F7E4";Apple, Inc.
114124;"04F8C2";Flaircomm Microelectronics, Inc.
114125;"04F8F8";Edgecore Networks Corporation
114126;"04F938";HUAWEI TECHNOLOGIES CO.,LTD
114127;"04F9D9";Speaker Electronic(Jiashan) Co.,Ltd
114128;"04FA3F";Opticore Inc.
114129;"04FA83";Qingdao Haier Technology Co.,Ltd
114130;"04FE31";Samsung Electronics Co.,Ltd
114131;"04FE7F";Cisco Systems, Inc
114132;"04FE8D";HUAWEI TECHNOLOGIES CO.,LTD
114133;"04FEA1";Fihonest communication co.,Ltd
114134;"04FF51";NOVAMEDIA INNOVISION SP. Z O.O.
114135;"080001";COMPUTERVISION CORPORATION
114136;"080002";BRIDGE COMMUNICATIONS INC.
114137;"080003";ADVANCED COMPUTER COMM.
114138;"080004";CROMEMCO INCORPORATED
114139;"080005";SYMBOLICS INC.
114140;"080006";SIEMENS AG
114141;"080007";Apple, Inc.
114142;"080008";BOLT BERANEK AND NEWMAN INC.
114143;"080009";Hewlett Packard
114144;"08000A";NESTAR SYSTEMS INCORPORATED
114145;"08000B";UNISYS CORPORATION
114146;"08000C";MIKLYN DEVELOPMENT CO.
114147;"08000D";International Computers, Ltd
114148;"08000E";NCR CORPORATION
114149;"08000F";MITEL CORPORATION
114150;"080011";TEKTRONIX INC.
114151;"080012";BELL ATLANTIC INTEGRATED SYST.
114152;"080013";Exxon
114153;"080014";EXCELAN
114154;"080015";STC BUSINESS SYSTEMS
114155;"080016";BARRISTER INFO SYS CORP
114156;"080017";NATIONAL SEMICONDUCTOR
114157;"080018";PIRELLI FOCOM NETWORKS
114158;"080019";GENERAL ELECTRIC CORPORATION
114159;"08001A";TIARA/ 10NET
114160;"08001B";Dell EMC
114161;"08001C";KDD-KOKUSAI DEBNSIN DENWA CO.
114162;"08001D";ABLE COMMUNICATIONS INC.
114163;"08001E";APOLLO COMPUTER INC.
114164;"08001F";SHARP CORPORATION
114165;"080020";Oracle Corporation
114166;"080021";"3M COMPANY"
114167;"080022";NBI INC.
114168;"080023";Panasonic Communications Co., Ltd.
114169;"080024";"10NET COMMUNICATIONS/DCA"
114170;"080025";CONTROL DATA
114171;"080026";NORSK DATA A.S.
114172;"080027";PCS Systemtechnik GmbH
114173;"080028";Texas Instruments
114174;"080029";Megatek Corporation
114175;"08002A";MOSAIC TECHNOLOGIES INC.
114176;"08002B";DIGITAL EQUIPMENT CORPORATION
114177;"08002C";BRITTON LEE INC.
114178;"08002D";LAN-TEC INC.
114179;"08002E";METAPHOR COMPUTER SYSTEMS
114180;"08002F";PRIME COMPUTER INC.
114181;"080030";NETWORK RESEARCH CORPORATION
114182;"080031";LITTLE MACHINES INC.
114183;"080032";TIGAN INCORPORATED
114184;"080033";BAUSCH & LOMB
114186;"080035";MICROFIVE CORPORATION
114187;"080036";INTERGRAPH CORPORATION
114188;"080037";FUJI-XEROX CO. LTD.
114189;"080038";BULL S.A.S.
114190;"080039";SPIDER SYSTEMS LIMITED
114191;"08003A";ORCATECH INC.
114192;"08003B";TORUS SYSTEMS LIMITED
114193;"08003C";SCHLUMBERGER WELL SERVICES
114194;"08003D";CADNETIX CORPORATIONS
114195;"08003E";CODEX CORPORATION
114196;"08003F";FRED KOSCHARA ENTERPRISES
114197;"080040";FERRANTI COMPUTER SYS. LIMITED
114198;"080041";RACAL-MILGO INFORMATION SYS..
114199;"080042";JAPAN MACNICS CORP.
114200;"080043";PIXEL COMPUTER INC.
114201;"080044";DAVID SYSTEMS INC.
114202;"080045";CONCURRENT COMPUTER CORP.
114203;"080046";Sony Corporation
114204;"080047";SEQUENT COMPUTER SYSTEMS INC.
114205;"080048";EUROTHERM GAUGING SYSTEMS
114206;"080049";UNIVATION
114207;"08004A";BANYAN SYSTEMS INC.
114208;"08004B";Planning Research Corp.
114209;"08004C";HYDRA COMPUTER SYSTEMS INC.
114210;"08004D";CORVUS SYSTEMS INC.
114211;"08004E";"3COM EUROPE LTD"
114212;"08004F";CYGNET SYSTEMS
114213;"080050";DAISY SYSTEMS CORP.
114214;"080051";ExperData
114215;"080052";INSYSTEC
114216;"080053";MIDDLE EAST TECH. UNIVERSITY
114217;"080055";STANFORD TELECOMM. INC.
114218;"080056";STANFORD LINEAR ACCEL. CENTER
114219;"080057";Evans & Sutherland
114220;"080058";SYSTEMS CONCEPTS
114221;"080059";A/S MYCRON
114222;"08005A";IBM Corp
114223;"08005B";VTA TECHNOLOGIES INC.
114224;"08005C";FOUR PHASE SYSTEMS
114225;"08005D";GOULD INC.
114226;"08005E";COUNTERPOINT COMPUTER INC.
114227;"08005F";SABER TECHNOLOGY CORP.
114228;"080060";INDUSTRIAL NETWORKING INC.
114229;"080061";JAROGATE LTD.
114230;"080062";General Dynamics
114231;"080063";PLESSEY
114232;"080064";Sitasys AG
114233;"080065";GENRAD INC.
114234;"080066";AGFA CORPORATION
114235;"080067";ComDesign
114236;"080068";RIDGE COMPUTERS
114237;"080069";Silicon Graphics
114238;"08006A";AT&T
114239;"08006B";ACCEL TECHNOLOGIES INC.
114240;"08006C";SUNTEK TECHNOLOGY INT'L
114241;"08006D";WHITECHAPEL COMPUTER WORKS
114242;"08006E";MASSCOMP
114243;"08006F";PHILIPS APELDOORN B.V.
114244;"080070";Mitsubishi Precision Co.,LTd.
114245;"080071";MATRA (DSIE)
114246;"080072";XEROX CORP UNIV GRANT PROGRAM
114247;"080073";TECMAR INC.
114248;"080074";CASIO COMPUTER CO. LTD.
114249;"080075";DANSK DATA ELECTRONIK
114250;"080076";PC LAN TECHNOLOGIES
114251;"080077";TSL COMMUNICATIONS LTD.
114252;"080078";ACCELL CORPORATION
114253;"080079";THE DROID WORKS
114254;"08007A";INDATA
114255;"08007B";SANYO ELECTRIC CO. LTD.
114256;"08007C";VITALINK COMMUNICATIONS CORP.
114257;"08007E";AMALGAMATED WIRELESS(AUS) LTD
114258;"08007F";CARNEGIE-MELLON UNIVERSITY
114259;"080080";AES DATA INC.
114260;"080081";ASTECH INC.
114261;"080082";VERITAS SOFTWARE
114262;"080083";Seiko Instruments Inc.
114263;"080084";TOMEN ELECTRONICS CORP.
114264;"080085";ELXSI
114265;"080086";KONICA MINOLTA HOLDINGS, INC.
114266;"080087";Xyplex, Inc.
114267;"080088";Brocade Communications Systems LLC
114268;"080089";Kinetics
114269;"08008A";PerfTech, Inc.
114270;"08008B";PYRAMID TECHNOLOGY CORP.
114271;"08008C";NETWORK RESEARCH CORPORATION
114272;"08008D";XYVISION INC.
114273;"08008E";Tandem Computers
114274;"08008F";CHIPCOM CORPORATION
114275;"080090";SONOMA SYSTEMS
114276;"08010F";SICHUAN TIANYI COMHEART TELECOMCO.,LTD
114277;"08028E";NETGEAR
114278;"080342";Palo Alto Networks
114279;"080371";KRG CORPORATE
114280;"080581";Roku, Inc.
114281;"0805CD";DongGuang EnMai Electronic Product Co.Ltd.
114282;"0808C2";Samsung Electronics Co.,Ltd
114283;"0808EA";AMSC
114284;"0809B6";Masimo Corp
114285;"0809C7";Zhuhai Unitech Power Technology Co., Ltd.
114286;"080A4E";Planet Bingo® — 3rd Rock Gaming®
114287;"080C0B";SysMik GmbH Dresden
114288;"080CC9";Mission Technology Group, dba Magma
114289;"080D84";GECO, Inc.
114290;"080EA8";Velex s.r.l.
114291;"080FFA";KSP INC.
114292;"08115E";Bitel Co., Ltd.
114293;"081196";Intel Corporate
114294;"0812A5";Amazon Technologies Inc.
114295;"081443";UNIBRAIN S.A.
114296;"08152F";Samsung Electronics Co., Ltd. ARTIK
114297;"081651";SHENZHEN SEA STAR TECHNOLOGY CO.,LTD
114298;"081735";Cisco Systems, Inc
114299;"0817F4";IBM Corp
114300;"08181A";zte corporation
114301;"08184C";A. S. Thomas, Inc.
114302;"0819A6";HUAWEI TECHNOLOGIES CO.,LTD
114303;"081DC4";Thermo Fisher Scientific Messtechnik GmbH
114304;"081DFB";Shanghai Mexon Communication Technology Co.,Ltd
114305;"081F3F";WondaLink Inc.
114306;"081F71";TP-LINK TECHNOLOGIES CO.,LTD.
114307;"081FEB";BinCube
114308;"081FF3";Cisco Systems, Inc
114309;"0821EF";Samsung Electronics Co.,Ltd
114310;"0823B2";vivo Mobile Communication Co., Ltd.
114311;"082522";ADVANSEE
114312;"082525";Xiaomi Communications Co Ltd
114313;"082697";Zyxel Communications Corporation
114314;"082719";APS systems/electronic AG
114315;"0827CE";NAGANO KEIKI CO., LTD.
114316;"082AD0";SRD Innovations Inc.
114317;"082CB0";Network Instruments
114318;"082CB6";Apple, Inc.
114319;"082E5F";Hewlett Packard
114320;"08306B";Palo Alto Networks
114321;"08318B";HUAWEI TECHNOLOGIES CO.,LTD
114322;"0831A4";Huawei Device Co., Ltd.
114323;"08351B";Shenzhen Jialihua Electronic Technology Co., Ltd
114324;"083571";CASwell INC.
114325;"0835B2";CoreEdge Networks Co., Ltd
114326;"0836C9";NETGEAR
114327;"08373D";Samsung Electronics Co.,Ltd
114328;"08379C";Topaz Co. LTD.
114329;"083869";Hong Kong AMobile Intelligent Corp. Limited Taiwan Branch
114330;"0838A5";Funkwerk plettac electronic GmbH
114331;"083A2F";Guangzhou Juan Intelligent Tech Joint Stock Co.,Ltd
114332;"083A5C";Junilab, Inc.
114333;"083A88";Universal Global Scientific Industrial Co., Ltd.
114334;"083AB8";Shinoda Plasma Co., Ltd.
114335;"083AF2";Espressif Inc.
114336;"083D88";Samsung Electronics Co.,Ltd
114337;"083E0C";ARRIS Group, Inc.
114338;"083E5D";Sagemcom Broadband SAS
114339;"083E8E";Hon Hai Precision Ind. Co.,Ltd.
114340;"083F3E";WSH GmbH
114341;"083F76";Intellian Technologies, Inc.
114342;"083FBC";zte corporation
114343;"084027";Gridstore Inc.
114344;"0840F3";Tenda Technology Co.,Ltd.Dongguan branch
114345;"084656";VEO-LABS
114346;"0847D0";Nokia Shanghai Bell Co., Ltd.
114347;"08482C";Raycore Taiwan Co., LTD.
114348;"084ACF";GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
114349;"084E1C";H2A Systems, LLC
114350;"084EBF";Sumitomo Electric Industries, Ltd
114351;"084F0A";HUAWEI TECHNOLOGIES CO.,LTD
114352;"084FA9";Cisco Systems, Inc
114353;"084FF9";Cisco Systems, Inc
114354;"085114";QINGDAO TOPSCOMM COMMUNICATION CO., LTD
114355;"08512E";Orion Diagnostica Oy
114356;"085240";EbV Elektronikbau- und Vertriebs GmbH
114357;"0854BB";SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
114358;"085700";TP-LINK TECHNOLOGIES CO.,LTD.
114359;"085AE0";Recovision Technology Co., Ltd.
114360;"085B0E";Fortinet, Inc.
114361;"085BDA";CliniCare LTD
114362;"085DDD";MERCURY CORPORATION
114363;"08606E";ASUSTek COMPUTER INC.
114364;"086083";zte corporation
114365;"086195";Rockwell Automation
114366;"086266";ASUSTek COMPUTER INC.
114367;"086361";HUAWEI TECHNOLOGIES CO.,LTD
114368;"08661F";Palo Alto Networks
114369;"086698";Apple, Inc.
114370;"08674E";Hisense broadband multimedia technology Co.,Ltd
114371;"08688D";New H3C Technologies Co., Ltd
114372;"0868D0";Japan System Design
114373;"0868EA";EITO ELECTRONICS CO., LTD.
114374;"086A0A";ASKEY COMPUTER CORP
114375;"086BD1";Shenzhen SuperElectron Technology Co.,Ltd.
114376;"086BD7";Silicon Laboratories
114377;"086D41";Apple, Inc.
114378;"086DF2";Shenzhen MIMOWAVE Technology Co.,Ltd
114379;"087045";Apple, Inc.
114380;"087190";Intel Corporate
114381;"087402";Apple, Inc.
114382;"0874F6";Winterhalter Gastronom GmbH
114383;"087572";Obelux Oy
114384;"087618";ViE Technologies Sdn. Bhd.
114385;"087695";Auto Industrial Co., Ltd.
114386;"0876FF";Thomson Telecom Belgium
114387;"087808";Samsung Electronics Co.,Ltd
114388;"087999";AIM GmbH
114389;"087A4C";HUAWEI TECHNOLOGIES CO.,LTD
114390;"087BAA";SVYAZKOMPLEKTSERVICE, LLC
114391;"087CBE";Quintic Corp.
114392;"087D21";Altasec technology corporation
114393;"087E64";Technicolor CH USA Inc.
114394;"087F98";vivo Mobile Communication Co., Ltd.
114395;"088039";Cisco SPVTG
114396;"0881BC";HongKong Ipro Technology Co., Limited
114397;"0881F4";Juniper Networks
114398;"088466";Novartis Pharma AG
114399;"08849D";Amazon Technologies Inc.
114400;"088620";TECNO MOBILE LIMITED
114401;"08863B";Belkin International Inc.
114402;"0887C6";INGRAM MICRO SERVICES
114403;"088C2C";Samsung Electronics Co.,Ltd
114404;"088DC8";Ryowa Electronics Co.,Ltd
114405;"088E4F";SF Software Solutions
114406;"088F2C";Amber Technology Ltd.
114407;"0890BA";Danlaw Inc
114408;"0894EF";Wistron Infocomm (Zhongshan) Corporation
114409;"08952A";Technicolor CH USA Inc.
114410;"0896AD";Cisco Systems, Inc
114411;"0896D7";AVM GmbH
114412;"089734";Hewlett Packard Enterprise
114413;"089758";Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary
114414;"089798";COMPAL INFORMATION (KUNSHAN) CO., LTD.
114415;"089B4B";iKuai Networks
114416;"089BB9";Nokia
114417;"089C86";Nokia Shanghai Bell Co., Ltd.
114418;"089E01";Quanta Computer Inc.
114419;"089E08";Google, Inc.
114420;"089F97";LEROY AUTOMATION
114421;"08A12B";ShenZhen EZL Technology Co., Ltd
114422;"08A5C8";Sunnovo International Limited
114423;"08A6BC";Amazon Technologies Inc.
114424;"08A8A1";Cyclotronics Power Concepts, Inc
114425;"08A95A";AzureWave Technology Inc.
114426;"08AA55";Motorola Mobility LLC, a Lenovo Company
114427;"08ACA5";Benu Video, Inc.
114428;"08ACC4";FMTech
114429;"08AED6";Samsung Electronics Co.,Ltd
114430;"08AF78";Totus Solutions, Inc.
114431;"08B055";ASKEY COMPUTER CORP
114432;"08B0A7";Truebeyond Co., Ltd
114433;"08B258";Juniper Networks
114434;"08B2A3";Cynny Italia S.r.L.
114435;"08B3AF";vivo Mobile Communication Co., Ltd.
114436;"08B4CF";Abicom International
114437;"08B738";Lite-On Technogy Corp.
114438;"08B7EC";Wireless Seismic
114439;"08BA22";Swaive Corporation
114440;"08BA5F";Qingdao Hisense Electronics Co.,Ltd.
114441;"08BBCC";AK-NORD EDV VERTRIEBSGES. mbH
114442;"08BC20";Hangzhou Royal Cloud Technology Co., Ltd
114443;"08BD43";NETGEAR
114444;"08BE09";Astrol Electronic AG
114445;"08BE77";Green Electronics
114446;"08BEAC";Edimax Technology Co. Ltd.
114447;"08BFA0";Samsung Electronics Co.,Ltd
114448;"08C021";HUAWEI TECHNOLOGIES CO.,LTD
114449;"08C0EB";Mellanox Technologies, Inc.
114450;"08C5E1";SAMSUNG ELECTRO-MECHANICS(THAILAND)
114451;"08C6B3";QTECH LLC
114452;"08CA45";Toyou Feiji Electronics Co., Ltd.
114453;"08CC27";Motorola Mobility LLC, a Lenovo Company
114454;"08CC68";Cisco Systems, Inc
114455;"08CCA7";Cisco Systems, Inc
114456;"08CD9B";samtec automotive electronics & software GmbH
114457;"08D09F";Cisco Systems, Inc
114458;"08D0B7";Qingdao Hisense Communications Co.,Ltd.
114459;"08D23E";Intel Corporate
114460;"08D29A";Proformatique
114461;"08D34B";Techman Electronics (Changshu) Co., Ltd.
114462;"08D40C";Intel Corporate
114463;"08D42B";Samsung Electronics Co.,Ltd
114464;"08D46A";LG Electronics (Mobile Communications)
114465;"08D59D";Sagemcom Broadband SAS
114466;"08D5C0";Seers Technology Co., Ltd
114467;"08D833";Shenzhen RF Technology Co., Ltd
114468;"08DF1F";Bose Corporation
114469;"08DFCB";Systrome Networks
114470;"08E5DA";NANJING FUJITSU COMPUTER PRODUCTS CO.,LTD.
114471;"08E672";JEBSEE ELECTRONICS CO.,LTD.
114472;"08E689";Apple, Inc.
114473;"08E84F";HUAWEI TECHNOLOGIES CO.,LTD
114474;"08E9F6";AMPAK Technology,Inc.
114475;"08EA40";SHENZHEN BILIAN ELECTRONIC CO.，LTD
114476;"08EA44";Extreme Networks, Inc.
114477;"08EB29";Jiangsu Huitong Group Co.,Ltd.
114478;"08EB74";HUMAX Co., Ltd.
114479;"08EBED";World Elite Technology Co.,LTD
114480;"08ECA9";Samsung Electronics Co.,Ltd
114481;"08ECF5";Cisco Systems, Inc
114482;"08ED02";IEEE Registration Authority
114483;"08ED020";D2SLink Systems
114484;"08ED021";Imperx, Inc
114485;"08ED022";TES Touch Embedded Solutions Inc.
114486;"08ED023";Jiangsu Logread Network Technology Co., LTD.
114487;"08ED024";Fio Corporation
114488;"08ED025";Vigitron Inc.
114489;"08ED026";SANGO ELECTRONICS CO
114490;"08ED027";Eleven Engineering Incorporated
114491;"08ED028";HANTAS CO., LTD.
114492;"08ED029";Savox Communications
114493;"08ED02A";Victiana SRL
114494;"08ED02B";Szok Energy and Communication Co., Ltd.
114495;"08ED02C";Guard RFID Solutions
114496;"08ED02D";Origami Energy Ltd
114497;"08ED02E";Telstra Corporation Limited
114498;"08ED9D";TECNO MOBILE LIMITED
114499;"08EDB9";Hon Hai Precision Ind. Co.,Ltd.
114500;"08EDED";Zhejiang Dahua Technology Co., Ltd.
114501;"08EE8B";Samsung Electronics Co.,Ltd
114502;"08EF3B";MCS Logic Inc.
114503;"08EFAB";SAYME WIRELESS SENSOR NETWORK
114504;"08F1B7";Towerstream Corpration
114505;"08F1EA";Hewlett Packard Enterprise
114506;"08F2F4";Net One Partners Co.,Ltd.
114507;"08F458";Huawei Device Co., Ltd.
114508;"08F4AB";Apple, Inc.
114509;"08F69C";Apple, Inc.
114510;"08F6F8";GET Engineering
114511;"08F728";GLOBO Multimedia Sp. z o.o. Sp.k.
114512;"08F7E9";HRCP Research and Development Partnership
114513;"08F8BC";Apple, Inc.
114514;"08FA79";vivo Mobile Communication Co., Ltd.
114515;"08FAE0";Fohhn Audio AG
114516;"08FBEA";AMPAK Technology,Inc.
114517;"08FC52";OpenXS BV
114518;"08FC88";Samsung Electronics Co.,Ltd
114519;"08FD0E";Samsung Electronics Co.,Ltd
114520;"0C01DB";Infinix mobility limited
114521;"0C0227";Technicolor CH USA Inc.
114522;"0C0400";Jantar d.o.o.
114523;"0C0535";Juniper Systems
114524;"0C08B4";HUMAX Co., Ltd.
114525;"0C1105";AKUVOX (XIAMEN) NETWORKS CO., LTD
114526;"0C1167";Cisco Systems, Inc
114527;"0C1262";zte corporation
114528;"0C130B";Uniqoteq Ltd.
114529;"0C1420";Samsung Electronics Co.,Ltd
114530;"0C14D2";China Mobile Group Device Co.,Ltd.
114531;"0C1539";Apple, Inc.
114532;"0C15C5";SDTEC Co., Ltd.
114533;"0C17F1";TELECSYS
114534;"0C191F";Inform Electronik
114535;"0C1A10";Acoustic Stream
114536;"0C1C19";LONGCONN ELECTRONICS(SHENZHEN) CO.,LTD
114537;"0C1C20";Kakao Corp
114538;"0C1C57";Texas Instruments
114539;"0C1DAF";Xiaomi Communications Co Ltd
114540;"0C1DC2";SeAH Networks
114541;"0C2026";noax Technologies AG
114542;"0C20D3";vivo Mobile Communication Co., Ltd.
114543;"0C2138";Hengstler GmbH
114544;"0C2369";Honeywell SPS
114545;"0C2576";LONGCHEER TELECOMMUNICATION LIMITED
114546;"0C2724";Cisco Systems, Inc
114547;"0C2755";Valuable Techologies Limited
114548;"0C29EF";Dell Inc.
114549;"0C2A69";electric imp, incorporated
114550;"0C2A86";Fiberhome Telecommunication Technologies Co.,LTD
114551;"0C2AE7";Beijing General Research Institute of Mining and Metallurgy
114552;"0C2C54";HUAWEI TECHNOLOGIES CO.,LTD
114553;"0C2D89";QiiQ Communications Inc.
114554;"0C2FB0";Samsung Electronics Co.,Ltd
114555;"0C3021";Apple, Inc.
114556;"0C31DC";HUAWEI TECHNOLOGIES CO.,LTD
114557;"0C35FE";Fiberhome Telecommunication Technologies Co.,LTD
114558;"0C3747";zte corporation
114559;"0C3796";BIZLINK TECHNOLOGY, INC.
114560;"0C37DC";HUAWEI TECHNOLOGIES CO.,LTD
114561;"0C383E";Fanvil Technology Co., Ltd.
114562;"0C3956";Observator instruments
114563;"0C3B50";Apple, Inc.
114564;"0C3C65";Dome Imaging Inc
114565;"0C3CCD";Universal Global Scientific Industrial Co., Ltd.
114566;"0C3E9F";Apple, Inc.
114567;"0C4101";Ruichi Auto Technology (Guangzhou) Co., Ltd.
114568;"0C413E";Microsoft Corporation
114569;"0C41E9";HUAWEI TECHNOLOGIES CO.,LTD
114570;"0C42A1";Mellanox Technologies, Inc.
